Index,Period_3_commu,Period_1_commu,Period_2_commu,Background
2338263635,3,,13,medicine
2327271457,3,,,medicine
2018744926,3,,,political science
16006284,1082,,,computer science
54544322,1082,,,computer science
701587689,1082,,374,computer science
2058660171,1082,,374,computer science
2305630665,1082,,374,computer science
2638467850,1082,,374,computer science
17382961,2100,,,economics
1896676343,2100,,,business
2067835663,2100,,,psychology
17543240,718,,,computer science
195066789,718,,,computer science
2124082331,718,,,computer science
2165379294,718,,,chemistry
2466330935,718,,,computer science
17744689,6,,,computer science
40084183,6,52,4,computer science
188839994,6,,696,art
2058258246,6,,,computer science
50901888,6,,,computer science
118324956,6,,4,computer science
137165277,6,,,computer science
159308134,6,,4,psychology
261564576,6,,,computer science
291762745,6,,4,library science
329161791,6,,4,computer science
1205939423,6,,,engineering ethics
1923114979,6,,4,medicine
2070709224,6,,4,computer science
2101439466,6,,4,engineering
2105846473,6,,4,computer science
2117127751,6,,4,computer science
2123775253,6,,4,computer science
2124606184,6,,4,sociology
2128378581,6,,4,engineering
2137663104,6,,,computer science
2153272663,6,,,computer science
2163893639,6,52,4,sociology
2182699567,6,,4,medicine
2296820218,6,,4,engineering
2320962819,6,,,sociology
2648392181,6,,4,psychology
2651771314,6,,4,psychology
2889987219,6,,,psychology
2959912467,6,,,computer science
2989338500,6,,,computer science
2004184240,6,,696,computer science
2076419635,6,,696,art
17842523,2101,,,computer science
2060265058,2101,,,computer science
2230394728,2101,,,mathematics
18301080,720,,,computer science
2004410564,720,,,engineering
2147669519,720,,,mathematics
2166897319,720,,,mathematics
2205924584,720,,,computer science
18635051,2027,,,computer science
2121694645,2027,,,medicine
2252037344,2027,,,computer science
2807721722,2027,,,computer science
18896700,1084,,310,computer science
737311942,1084,,310,computer science
2010554420,1084,,310,computer science
2176652147,1084,,310,computer science
285511381,1084,,,computer science
1367500519,1084,,,mathematics
19340323,2122,,,computer science
2137623733,2122,,,engineering
2167891866,2122,,,geography
19633248,277,,,computer science
295546380,277,,,computer science
1678409130,277,,,computer science
2505498273,277,,,computer science
2597239250,277,,,computer science
2793786958,277,,,computer science
2889462004,277,,,computer science
2980336158,277,,,computer science
19741954,2204,,,computer science
2771803695,2204,,,psychology
2793485452,2204,,,economics
19847750,148,,,computer science
74367072,148,,,computer science
1979061195,148,,,computer science
2024597755,148,,,computer science
2562036964,148,,,computer science
2777756624,148,,,computer science
254472727,148,,,computer science
2198740901,148,,,computer science
20413438,1663,,,computer science
1982547637,1663,,,geography
2786635235,1663,,,computer science
2787079697,1663,,,computer science
20636212,5,,,computer science
93549422,5,,,computer science
2063472714,5,,47,computer science
2203993229,5,,47,computer science
2620324492,5,,,computer science
2031083176,5,,47,computer science
2147903670,5,,47,computer science
2123509235,5,,47,computer science
75567840,5,,,engineering
729038630,5,,,computer science
2083914358,5,,,computer science
2110985677,5,,,computer science
2131427445,5,,,computer science
2160275481,5,,,engineering
2620384179,5,,,computer science
2807624124,5,,,computer science
2129751013,5,,47,computer science
2166042154,5,,47,engineering
2251007278,5,,47,computer science
2012879311,5,,,mathematics
2146672072,5,,,physics
2248192384,5,,124,mathematics
2306680583,5,,,mathematics
2972992082,5,,,computer science
2553409745,5,,,biology
2785721772,5,,,computer science
2107196513,2,,,psychology
2147450697,2,,,psychology
2160439234,2,,,sociology
2187424632,2,,378,computer science
2292998362,2,,,computer science
2671241673,2,,,computer science
2784787021,2,,,computer science
21094659,134,,,computer science
264213217,134,,114,engineering
2148532501,134,,,psychology
1990677562,134,,114,physics
2171819400,134,,114,computer science
2435511731,134,,114,physics
21977915,2177,,,computer science
2201039448,2177,,,computer science
2439727996,2177,,,computer science
22319059,220,,,computer science
1979201319,220,,,computer science
2053318314,220,,205,computer science
2799140170,220,,,mathematics
299152467,220,,205,computer science
2022361055,220,,205,medicine
2109679090,220,,205,medicine
2117192520,220,,205,medicine
2531902733,220,,,computer science
22387701,253,,308,sociology
2123302476,253,,308,sociology
2505379612,253,,308,medicine
2595079392,253,,308,medicine
1516315565,253,,,sociology
2094792370,253,,,political science
2296078496,253,,,mathematics
22876707,730,,,engineering
1782449480,730,,,art
1923040252,730,,,computer science
2095576360,730,,,computer science
2551524826,730,,,computer science
23074245,4266,,,computer science
2901103247,4266,,,computer science
23099875,4258,,,computer science
2493390968,4258,,,computer science
23567030,734,,,computer science
2341059767,734,,,physics
2765252334,734,,,physics
2766340169,734,,,mathematics education
2766817183,734,,,physics
23750366,287,,,computer science
2160800653,287,,,computer science
2238511755,287,,,medicine
2421065596,287,,,computer science
2501444252,287,,,computer science
2655727579,287,,,materials science
2803720562,287,,,computer science
2936562174,287,,,computer science
24179647,4268,,977,business
1934323985,4268,,977,psychology
24395475,471,,,computer science
249912629,471,,,computer science
2067977781,471,,,computer science
2231811534,471,,,computer science
2281435374,471,,,computer science
2973506030,471,,,computer science
24916679,472,,,computer science
2088625834,472,,,computer science
2497313735,472,,,psychology
2560395949,472,,,political science
2799252021,472,,,sociology
2929239045,472,,,sociology
25748148,1735,,,physics
1848322340,1735,,,mathematics
2478653850,1735,,,mathematics
2510197819,1735,,,physics
26189416,1759,,,medicine
38321428,1759,,,medicine
1997543915,1759,,,medicine
2441108194,1759,,,medicine
26505864,1757,,268,computer science
1967649013,1757,,268,computer science
2118340245,1757,,268,computer science
2693332733,1757,,268,computer science
28153588,1761,,,geography
1920821985,1761,,,computer science
2084250432,1761,,,computer science
2269209723,1761,,,computer science
28653651,476,,,medicine
246931371,476,,,medicine
1113842012,476,,,medicine
1967451753,476,,,medicine
2212665171,476,,,medicine
2479685753,476,,,medicine
28886486,2417,,,engineering
2302896776,2417,,,computer science
2310060993,2417,,,computer science
28927743,4269,,976,computer science
2088537036,4269,,976,computer science
28952587,2420,,,engineering
2127251054,2420,,,psychology
2970619533,2420,,,psychology
29143111,1776,,,mathematics
1934107038,1776,,,mathematics
2137894986,1776,,596,physics
2269524182,1776,,596,economics
2630697622,1776,,596,computer science
29154186,4270,,,sociology
2311877587,4270,,,computer science
30211093,2,,,computer science
2188387283,2,,9,physics
2626049419,2,,,mathematics
2786568498,2,,,mathematics
2803362387,2,,,mathematics
1208169007,2,,,mathematics
2021652723,2,,899,physics
2066556690,2,,,computer science
2125516075,2,,,physics
2157065406,2,,,chemistry
2226016860,2,,,chemistry
2379947275,2,,,mathematics
2994708852,2,,,physics
2799241469,2,,,mathematics
2224238000,2,,,computer science
2726476192,2,,,computer science
2589527124,2,,,computer science
2026883446,2,,,business
2149004180,2,,,computer science
88547448,2,,360,biology
162349121,2,,,computer science
239044144,2,,360,computer science
